,SiteEnergyUse(kBtu),TotalGHGEmissions,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,proportion_SteamUse(kBtu),proportion_Electricity(kBtu),proportion_NaturalGas(kBtu)
1011,2615247.75,33.92,Medical Office,47.60132,-122.30477,1990,1.0,2,39000,0,25.0,0.0,0.8699649966241249,0.13003471659616186
1020,1467060.25,19.82,Small- and Mid-Sized Office,47.58528,-122.305,1961,1.0,1,29740,0,57.0,0.0,0.8583117155549679,0.1416881140362163
1024,2130673.75,63.06,Small- and Mid-Sized Office,47.5859,-122.29957,1970,1.0,2,39170,0,81.0,0.0,0.5096204897629212,0.4903796275708564
1030,557863.6875,3.89,Retail Store,47.57403,-122.3336,1914,1.0,1,20000,0,75.0,0.0,1.0000005601726856,0.0
1031,248616.0,1.73,Warehouse,47.5741,-122.32541,1955,1.0,2,32400,0,91.0,0.0,1.0,0.0
1033,8905287.0,247.85,Supermarket / Grocery Store,47.63776,-122.35606,1962,1.0,1,25159,0,38.0,0.0,0.5478639823736169,0.4521359053335395
1041,243518.2031,1.7,Distribution Center,47.56489,-122.3409,1955,1.0,1,26680,0,92.0,0.0,0.9999991659761059,0.0
1042,1788148.0,61.71,Warehouse,47.56447,-122.35335,1953,1.0,1,31521,0,6.0,0.0,0.40317971443079653,0.5968202855692034
1045,145468.7969,5.46,Retail Store,47.56535,-122.34054,1953,1.0,1,39900,0,100.0,0.0,0.33687636829558465,0.66312502788012
1047,1096646.25,39.05,Distribution Center,47.5678,-122.33622,1998,1.0,1,35579,0,72.0,0.0,0.37938122708211514,0.6206185449501149
1049,238969.7031,1.67,Distribution Center,47.57382,-122.32672,1975,1.0,1,49950,0,77.0,0.0,1.0000012424169096,0.0
1054,731321.8125,31.6,Worship Facility,47.63927,-122.4032,1947,1.0,2,22612,0,87.0,0.0,0.21457038107967005,0.7854298753054081
1060,1577040.875,61.53,Warehouse,47.55302,-122.33605,1938,1.0,1,30545,0,12.0,0.0,0.30549683755026324,0.6945032417121084
1071,971990.3125,29.82,K-12 School,47.63111,-122.35814,1922,1.0,3,32691,0,99.0,0.0,0.48609640849686964,0.5139032699978684
1073,1086678.125,47.59,Worship Facility,47.63159,-122.35839,1963,1.0,2,24227,0,55.0,0.0,0.20189326991375667,0.7981066150567814
1081,651293.3125,18.85,Distribution Center,47.54365,-122.30785,1956,1.0,1,27000,0,61.0,0.0,0.5237885810473449,0.4762109391381168
1093,361542.0938,2.52,Small- and Mid-Sized Office,47.64243,-122.32618,1957,1.0,2,21183,0,99.0,0.0,0.9999997405557981,0.0
1094,755618.1875,6.18,Small- and Mid-Sized Office,47.64428,-122.32627,1961,1.0,3,25558,3834,91.0,0.0,0.9738900044673686,0.026109747391436365
1096,4704936.5,32.8,Large Office,47.6465,-122.3252,1985,1.0,5,82234,55504,62.0,0.0,0.9999998937286401,0.0
1104,1361427.75,39.5,Residence Hall,47.65014,-122.34424,1988,1.0,3,21118,0,49.0,0.0,0.5222010495966459,0.477799134034105
1105,4489661.0,72.26,Large Office,47.64868,-122.34254,2013,1.0,5,126842,79284,98.0,0.0,0.8021703643103566,0.19774945146192552
1106,1326178.125,11.27,Small- and Mid-Sized Office,47.64866,-122.34509,1900,1.0,2,20500,0,48.0,0.0,0.9669387360766488,0.033061169667536174
1109,12148720.0,480.9,Senior Care Community,47.69875,-122.36725,1966,1.0,2,3636,31000,3.0,0.0,0.29314816704969743,0.7068517506371041
1110,605186.3125,15.47,Worship Facility,47.67485,-122.29284,1930,1.0,2,25521,0,82.0,0.0,0.5971450320929061,0.40285445153718674
1111,1705515.25,68.14,K-12 School,47.67485,-122.29284,1986,1.0,1,23190,0,79.0,0.0,0.2851431554188683,0.7148566979978631
1115,770333.0,32.63,Small- and Mid-Sized Office,47.68602,-122.35674,1960,1.0,1,20678,0,98.0,0.0,0.23303817959246195,0.766961820407538
1116,2595783.5,106.45,K-12 School,47.68642,-122.35707,1922,1.0,3,28820,0,43.0,0.0,0.262254922261429,0.7377448851185008
1119,1829981.375,68.97,Worship Facility,47.51042,-122.26277,1954,1.0,2,27876,0,69.0,0.0,0.3342006691188319,0.6657991259610497
1123,6782435.0,235.26,Senior Care Community,47.55387,-122.27875,1966,1.0,2,41649,7233,51.0,0.0,0.3993042321820998,0.6006957678179002
1124,439065.9063,3.06,Warehouse,47.55374,-122.32498,1977,1.0,1,22320,0,62.0,0.0,1.0000002134075971,0.0
1126,1471914.25,10.26,Small- and Mid-Sized Office,47.55316,-122.32616,1982,1.0,2,40029,0,69.0,0.0,0.9999998301531492,0.0
1127,1269367.5,8.85,Small- and Mid-Sized Office,47.55196,-122.32518,1970,1.0,2,28304,0,67.0,0.0,0.9999996061030395,0.0
1131,2399353.5,81.96,Small- and Mid-Sized Office,47.55127,-122.32576,1969,1.0,2,25872,0,41.0,0.0,0.4107177204192713,0.5892820711912605
1132,222600.0938,1.55,Warehouse,47.55127,-122.32576,1969,1.0,1,20500,0,65.0,0.0,0.9999995786165298,0.0
1133,534703.6875,3.73,Small- and Mid-Sized Office,47.6557,-122.34682,1958,1.0,2,21436,0,95.0,0.0,1.0000005844358424,0.0
1139,1126157.25,28.09,Small- and Mid-Sized Office,47.64904,-122.34609,1985,1.0,3,23307,8110,94.0,0.0,0.6104582641544953,0.38954151385164015
1144,478690.0938,3.34,Retail Store,47.61165,-122.34011,1916,1.0,2,25920,0,5.0,0.0,0.9999998040485876,0.0
1146,1011667.5,13.71,Retail Store,47.61236,-122.34144,1919,1.0,2,25920,0,93.0,0.0,0.8574437747580109,0.1425557310084588
1147,2897079.75,36.92,Hotel,47.61203,-122.34165,1910,1.0,8,61721,0,93.0,0.0,0.8748782286714751,0.12512185762231778
1150,1793851.375,46.48,Small- and Mid-Sized Office,47.61297,-122.34324,1919,1.0,2,25920,0,75.0,0.0,0.5895371348699388,0.4104626560826423
1154,2478960.0,149.91,Small- and Mid-Sized Office,47.61098,-122.32766,1925,1.0,4,39760,0,92.0,0.701754263884855,0.20662898957627393,0.09161664569012812
1156,3767135.0,148.55,Small- and Mid-Sized Office,47.61063,-122.32741,1946,1.0,3,22667,0,1.0,0.43516926656464394,0.5235525140458199,0.04127831893468113
1161,1291405.25,9.0,Small- and Mid-Sized Office,47.65114,-122.34954,2001,1.0,5,27730,6010,79.0,0.0,0.9999998064124332,0.0
1162,1021796.625,42.04,Retail Store,47.65115,-122.35024,1911,1.0,2,20516,0,98.0,0.0,0.25933144964145877,0.7406679386908329
1163,1215156.25,8.47,Retail Store,47.65019,-122.35013,1906,1.0,3,27480,0,88.0,0.0,0.9999997942651409,0.0
1165,1818867.875,30.32,Mixed Use Property,47.65061,-122.35159,1947,1.0,1,46958,0,95.0,0.0,0.7898033825024261,0.21019668622164214
1166,1934224.25,66.53,Distribution Center,47.65214,-122.356,1984,1.0,1,26532,0,5.0,0.0,0.40563290425089027,0.5943669664983261
1169,2173143.75,18.34,Small- and Mid-Sized Office,47.65297,-122.35839,1986,1.0,2,35600,0,47.0,0.0,0.9682300123956366,0.0317696424822334
1171,1799664.125,82.34,Worship Facility,47.64905,-122.36055,1949,1.0,3,62000,0,81.0,0.0,0.15945475381413185,0.8405451767284632
1172,776248.6875,5.41,Small- and Mid-Sized Office,47.64805,-122.35534,1981,1.0,2,23600,0,82.0,0.0,1.0000004025771703,0.0
1174,2303732.75,16.06,Small- and Mid-Sized Office,47.64976,-122.35684,1986,1.0,3,40067,0,43.0,0.0,0.9999996744414038,0.0
1175,1074989.0,7.49,Small- and Mid-Sized Office,47.64976,-122.35684,1989,1.0,3,19497,6922,67.0,0.0,1.0,0.0
1176,1469556.25,23.85,Small- and Mid-Sized Office,47.64976,-122.35684,1979,1.0,3,25262,0,54.0,0.0,0.7993392563231247,0.20066057355749398
